"SYSTEM", "1", "SYSTEM", "System Start", " "
"Thread-1", "132", "SYSTEM", "Method Call", " caller=SYSTEM, target=Programmer:2#run:2"
"Thread-1", "133", "SYSTEM", "Method Entered", " "
"Thread-0", "134", "SYSTEM", "Method Call", " caller=Programmer:1#run:1, target=Programmer:1#set_state:1"
"Thread-0", "135", "SYSTEM", "Method Entered", " "
"Thread-0", "136", "SYSTEM", "Variable Write", " context=Programmer:1#set_state:1, s=""C"""
"Thread-0", "137", "SYSTEM", "Line Step", " <source unavailable>"
"main", "138", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "139", "SYSTEM", "Thread Start", " Thread-2 (33)"
"Thread-2", "140", "SYSTEM", "Method Call", " caller=SYSTEM, target=Programmer:3#run:3"
"Thread-2", "141", "SYSTEM", "Method Entered", " "
"Thread-1", "142", "SYSTEM", "Method Call", " caller=Programmer:2#run:2, target=Programmer:2#set_state:2"
"Thread-1", "143", "SYSTEM", "Method Entered", " "
"Thread-1", "144", "SYSTEM", "Variable Write", " context=Programmer:2#set_state:2, s=""C"""
"Thread-1", "145", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "146", "SYSTEM", "Field Write", " context=Programmer:1, state=""C"""
"main", "147", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "148", "SYSTEM", "Thread Start", " Thread-3 (35)"
"Thread-3", "149", "SYSTEM", "Method Call", " caller=SYSTEM, target=Programmer:4#run:4"
"Thread-3", "150", "SYSTEM", "Method Entered", " "
"Thread-2", "151", "SYSTEM", "Method Call", " caller=Programmer:3#run:3, target=Programmer:3#set_state:3"
"Thread-2", "152", "SYSTEM", "Method Entered", " "
"Thread-2", "153", "SYSTEM", "Variable Write", " context=Programmer:3#set_state:3, s=""C"""
"Thread-2", "154", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "155", "SYSTEM", "Field Write", " context=Programmer:2, state=""C"""
"Thread-0", "156", "SYSTEM", "Line Step", " <source unavailable>"
"main", "157", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "158", "SYSTEM", "Thread Start", " Thread-4 (37)"
"Thread-4", "159", "SYSTEM", "Method Call", " caller=SYSTEM, target=Programmer:5#run:5"
"Thread-4", "160", "SYSTEM", "Method Entered", " "
"Thread-3", "161", "SYSTEM", "Method Call", " caller=Programmer:4#run:4, target=Programmer:4#set_state:4"
"Thread-3", "162", "SYSTEM", "Method Entered", " "
"Thread-3", "163", "SYSTEM", "Variable Write", " context=Programmer:4#set_state:4, s=""C"""
"Thread-3", "164", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "165", "SYSTEM", "Field Write", " context=Programmer:3, state=""C"""
"Thread-1", "166", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "167", "SYSTEM", "Line Step", " <source unavailable>"
"main", "168", "SYSTEM", "Method Exit", " returner=DiningProgrammers#main:1, value=<void>"
"Thread-4", "169", "SYSTEM", "Method Call", " caller=Programmer:5#run:5, target=Programmer:5#set_state:5"
"Thread-4", "170", "SYSTEM", "Method Entered", " "
"Thread-4", "171", "SYSTEM", "Variable Write", " context=Programmer:5#set_state:5, s=""C"""
"Thread-4", "172", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "173", "SYSTEM", "Field Write", " context=Programmer:4, state=""C"""
"Thread-2", "174", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "175", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "176", "SYSTEM", "Field Read", " context=Programmer:1, name"
"main", "177", "SYSTEM", "Method Returned", " "
"main", "178", "SYSTEM", "Thread End", " "
"Thread-4", "179", "SYSTEM", "Field Write", " context=Programmer:5, state=""C"""
"Thread-3", "180", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "181", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "182", "SYSTEM", "Field Read", " context=Programmer:2, name"
"Thread-4", "183", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "184", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "185", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "186", "SYSTEM", "Field Read", " context=Programmer:3, name"
"Thread-4", "187", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "188", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "189", "SYSTEM", "Field Read", " context=Programmer:4, name"
"Thread-4", "190", "SYSTEM", "Field Read", " context=Programmer:5, name"
"Thread-2", "191", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "192", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "193", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "194", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "195", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "196", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "197", "SYSTEM", "Method Exit", " returner=Programmer:1#set_state:1, value=<void>"
"Thread-0", "198", "SYSTEM", "Method Returned", " "
"Thread-0", "199", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "200", "SYSTEM", "Variable Write", " context=Programmer:1#run:1, i=0"
"Thread-0", "201", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "202", "SYSTEM", "Field Read", " context=Programmer:1, fs"
"Thread-0", "203", "SYSTEM", "Method Call", " caller=Programmer:1#run:1, target=Forks:1#pickup:1"
"Thread-0", "204", "SYSTEM", "Method Entered", " "
"Thread-0", "205", "SYSTEM", "Variable Write", " context=Forks:1#pickup:1, p=Programmer:1"
"Thread-0", "206", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "207", "SYSTEM", "Field Read", " context=Programmer:1, count"
"Thread-0", "208", "SYSTEM", "Field Read", " context=Forks:1, n"
"Thread-0", "209", "SYSTEM", "Field Read", " context=Forks:1, n"
"Thread-2", "210", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "211", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "212", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "213", "SYSTEM", "Field Read", " context=Programmer:1, count"
"Thread-4", "214", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "215", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "216", "SYSTEM", "Field Write", " context=Programmer:1, count=1"
"Thread-4", "217", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "218", "SYSTEM", "Method Exit", " returner=Programmer:3#set_state:3, value=<void>"
"Thread-0", "219", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "220", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "221", "SYSTEM", "Method Returned", " "
"Thread-2", "222", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "223", "SYSTEM", "Field Read", " context=Forks:1, n"
"Thread-4", "224", "SYSTEM", "Method Exit", " returner=Programmer:5#set_state:5, value=<void>"
"Thread-2", "225", "SYSTEM", "Variable Write", " context=Programmer:3#run:3, i=0"
"Thread-2", "226", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "227", "SYSTEM", "Field Write", " context=Forks:1, n=4"
"Thread-4", "228", "SYSTEM", "Method Returned", " "
"Thread-4", "229", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "230", "SYSTEM", "Field Read", " context=Programmer:3, fs"
"Thread-0", "231", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "232", "SYSTEM", "Variable Write", " context=Programmer:5#run:5, i=0"
"Thread-4", "233", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "234", "SYSTEM", "Method Call", " caller=Programmer:3#run:3, target=Forks:1#pickup:2"
"Thread-2", "235", "SYSTEM", "Method Entered", " "
"Thread-2", "236", "SYSTEM", "Variable Write", " context=Forks:1#pickup:2, p=Programmer:3"
"Thread-2", "237", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "238", "SYSTEM", "Method Exit", " returner=Forks:1#pickup:1, value=<void>"
"Thread-4", "239", "SYSTEM", "Field Read", " context=Programmer:5, fs"
"Thread-3", "240", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "241", "SYSTEM", "Field Read", " context=Programmer:3, count"
"Thread-0", "242", "SYSTEM", "Method Returned", " "
"Thread-0", "243", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "244", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "245", "SYSTEM", "Field Read", " context=Forks:1, n"
"Thread-0", "246", "SYSTEM", "Method Call", " caller=Programmer:1#run:1, target=Programmer:1#set_state:6"
"Thread-0", "247", "SYSTEM", "Method Entered", " "
"Thread-0", "248", "SYSTEM", "Variable Write", " context=Programmer:1#set_state:6, s=""H"""
"Thread-0", "249", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "250", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "251", "SYSTEM", "Field Read", " context=Forks:1, n"
"Thread-0", "252", "SYSTEM", "Field Write", " context=Programmer:1, state=""H"""
"Thread-3", "253", "SYSTEM", "Method Exit", " returner=Programmer:4#set_state:4, value=<void>"
"Thread-2", "254", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "255", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "256", "SYSTEM", "Method Returned", " "
"Thread-3", "257", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "258", "SYSTEM", "Field Read", " context=Programmer:3, count"
"Thread-0", "259", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "260", "SYSTEM", "Variable Write", " context=Programmer:4#run:4, i=0"
"Thread-3", "261", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "262", "SYSTEM", "Field Write", " context=Programmer:3, count=1"
"Thread-0", "263", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "264", "SYSTEM", "Field Read", " context=Programmer:4, fs"
"Thread-2", "265", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "266", "SYSTEM", "Field Read", " context=Programmer:1, name"
"Thread-2", "267", "SYSTEM", "Field Read", " context=Forks:1, n"
"Thread-2", "268", "SYSTEM", "Field Write", " context=Forks:1, n=3"
"Thread-2", "269", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "270", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "271", "SYSTEM", "Method Exit", " returner=Forks:1#pickup:2, value=<void>"
"Thread-3", "272", "SYSTEM", "Method Call", " caller=Programmer:4#run:4, target=Forks:1#pickup:3"
"Thread-3", "273", "SYSTEM", "Method Entered", " "
"Thread-3", "274", "SYSTEM", "Variable Write", " context=Forks:1#pickup:3, p=Programmer:4"
"Thread-3", "275", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "276", "SYSTEM", "Method Returned", " "
"Thread-2", "277", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "278", "SYSTEM", "Field Read", " context=Programmer:4, count"
"Thread-2", "279", "SYSTEM", "Method Call", " caller=Programmer:3#run:3, target=Programmer:3#set_state:7"
"Thread-2", "280", "SYSTEM", "Method Entered", " "
"Thread-2", "281", "SYSTEM", "Variable Write", " context=Programmer:3#set_state:7, s=""H"""
"Thread-2", "282", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "283", "SYSTEM", "Field Read", " context=Forks:1, n"
"Thread-2", "284", "SYSTEM", "Field Write", " context=Programmer:3, state=""H"""
"Thread-3", "285", "SYSTEM", "Field Read", " context=Forks:1, n"
"Thread-2", "286", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "287", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "288", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "289", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "290", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "291", "SYSTEM", "Field Read", " context=Programmer:4, count"
"Thread-1", "292", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "293", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "294", "SYSTEM", "Method Exit", " returner=Programmer:1#set_state:6, value=<void>"
"Thread-3", "295", "SYSTEM", "Field Write", " context=Programmer:4, count=1"
"Thread-1", "296", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "297", "SYSTEM", "Field Read", " context=Programmer:3, name"
"Thread-0", "298", "SYSTEM", "Method Returned", " "
"Thread-0", "299", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "300", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "301", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "302", "SYSTEM", "Field Read", " context=Programmer:1, fs"
"Thread-3", "303", "SYSTEM", "Field Read", " context=Forks:1, n"
"Thread-2", "304", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "305", "SYSTEM", "Method Exit", " returner=Programmer:2#set_state:2, value=<void>"
"Thread-3", "306", "SYSTEM", "Field Write", " context=Forks:1, n=2"
"Thread-1", "307", "SYSTEM", "Method Returned", " "
"Thread-1", "308", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "309", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "310", "SYSTEM", "Variable Write", " context=Programmer:2#run:2, i=0"
"Thread-1", "311", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "312", "SYSTEM", "Method Exit", " returner=Forks:1#pickup:3, value=<void>"
"Thread-4", "313", "SYSTEM", "Method Call", " caller=Programmer:5#run:5, target=Forks:1#pickup:4"
"Thread-4", "314", "SYSTEM", "Method Entered", " "
"Thread-4", "315", "SYSTEM", "Variable Write", " context=Forks:1#pickup:4, p=Programmer:5"
"Thread-4", "316", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "317", "SYSTEM", "Field Read", " context=Programmer:2, fs"
"Thread-3", "318", "SYSTEM", "Method Returned", " "
"Thread-3", "319", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "320", "SYSTEM", "Field Read", " context=Programmer:5, count"
"Thread-3", "321", "SYSTEM", "Method Call", " caller=Programmer:4#run:4, target=Programmer:4#set_state:8"
"Thread-3", "322", "SYSTEM", "Method Entered", " "
"Thread-3", "323", "SYSTEM", "Variable Write", " context=Programmer:4#set_state:8, s=""H"""
"Thread-3", "324", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "325", "SYSTEM", "Field Read", " context=Forks:1, n"
"Thread-3", "326", "SYSTEM", "Field Write", " context=Programmer:4, state=""H"""
"Thread-4", "327", "SYSTEM", "Field Read", " context=Forks:1, n"
"Thread-3", "328", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "329", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "330", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "331", "SYSTEM", "Field Read", " context=Programmer:5, count"
"Thread-3", "332", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "333", "SYSTEM", "Field Write", " context=Programmer:5, count=1"
"Thread-3", "334", "SYSTEM", "Field Read", " context=Programmer:4, name"
"Thread-4", "335", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "336", "SYSTEM", "Field Read", " context=Forks:1, n"
"Thread-4", "337", "SYSTEM", "Field Write", " context=Forks:1, n=1"
"Thread-3", "338", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "339", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "340", "SYSTEM", "Method Exit", " returner=Forks:1#pickup:4, value=<void>"
"Thread-1", "341", "SYSTEM", "Method Call", " caller=Programmer:2#run:2, target=Forks:1#pickup:5"
"Thread-1", "342", "SYSTEM", "Method Entered", " "
"Thread-1", "343", "SYSTEM", "Variable Write", " context=Forks:1#pickup:5, p=Programmer:2"
"Thread-1", "344", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "345", "SYSTEM", "Method Returned", " "
"Thread-4", "346", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "347", "SYSTEM", "Field Read", " context=Programmer:2, count"
"Thread-4", "348", "SYSTEM", "Method Call", " caller=Programmer:5#run:5, target=Programmer:5#set_state:9"
"Thread-4", "349", "SYSTEM", "Method Entered", " "
"Thread-4", "350", "SYSTEM", "Variable Write", " context=Programmer:5#set_state:9, s=""H"""
"Thread-4", "351", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "352", "SYSTEM", "Field Read", " context=Forks:1, n"
"Thread-4", "353", "SYSTEM", "Field Write", " context=Programmer:5, state=""H"""
"Thread-1", "354", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "355", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "356", "SYSTEM", "Method Call", " caller=Programmer:1#run:1, target=Forks:1#pickup:6"
"Thread-0", "357", "SYSTEM", "Method Entered", " "
"Thread-0", "358", "SYSTEM", "Variable Write", " context=Forks:1#pickup:6, p=Programmer:1"
"Thread-0", "359", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "360", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "361", "SYSTEM", "Field Read", " context=Programmer:1, count"
"Thread-4", "362", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "363", "SYSTEM", "Field Read", " context=Forks:1, n"
"Thread-4", "364", "SYSTEM", "Field Read", " context=Programmer:5, name"
"Thread-0", "365", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "366", "SYSTEM", "Field Read", " context=Programmer:1, count"
"Thread-0", "367", "SYSTEM", "Field Write", " context=Programmer:1, count=2"
"Thread-0", "368", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "369", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "370", "SYSTEM", "Field Read", " context=Forks:1, n"
"Thread-0", "371", "SYSTEM", "Field Write", " context=Forks:1, n=0"
"Thread-0", "372", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "373", "SYSTEM", "Method Exit", " returner=Forks:1#pickup:6, value=<void>"
"Thread-0", "374", "SYSTEM", "Method Returned", " "
"Thread-0", "375", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "376", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "377", "SYSTEM", "Method Call", " caller=Programmer:1#run:1, target=Programmer:1#set_state:10"
"Thread-0", "378", "SYSTEM", "Method Entered", " "
"Thread-0", "379", "SYSTEM", "Variable Write", " context=Programmer:1#set_state:10, s=""E"""
"Thread-0", "380", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "381", "SYSTEM", "Field Write", " context=Programmer:1, state=""E"""
